Site,season,N,shannon.di,simpson.di,inv.simpson.di,City,Long,Lat
G-JP,AP21,450,0.5999497394576928,0.3133530864197531,1.4563525739683272,tawa,-122.48980021466647,47.25733785038378
G-KP2,AP21,169,0.5989861175661941,0.31553517033717315,1.46099544733746,tawa,-122.50799150845162,47.269061297727504
H01-OXY1,JU21,7,0.5982695885852573,0.40816326530612246,1.6896551724137931,paca,-118.20939813219788,34.126927657671985
H01-CCH1,JA21,11,0.5859526183035508,0.39669421487603307,1.6575342465753424,paca,-118.19473427204494,34.17062801301575
ED06,AP21,97,0.5702965441370216,0.3018386651078755,1.432333688537068,lbca,-117.86499394691326,33.813104579469865
H01-HFR1,AP21,12,0.5660857389596289,0.29166666666666663,1.4117647058823528,paca,-118.28028507983583,34.22324078580839
IRC04,JU21,4,0.5623351446188083,0.375,1.6,lbca,-117.68302581073524,33.75233115011393
MA,OC20,4,0.5623351446188083,0.375,1.6,oaca,-122.19667933091584,37.72322142384811
H01-CCH1,AP21,18,0.5566469035821068,0.2901234567901234,1.408695652173913,paca,-118.19473427204494,34.17062801301575
H18,JU21,25,0.5510799280869728,0.3648,1.5743073047858942,oaca,-122.12281431345347,37.7423411134739
H01-WWD1,JA21,210,0.5460068166871125,0.3074829931972789,1.4440078585461689,paca,-118.2582246305454,34.21661561280118
H01-HNP1,AP21,68,0.527651463487936,0.34385813148788924,1.5240606460118655,paca,-118.17428217013232,34.19328012284418
H18,OC20,24,0.5117400734174093,0.32986111111111116,1.4922279792746116,oaca,-122.12281431345347,37.7423411134739
G-TNC2,OC20,381,0.508582739801547,0.2253360062275681,1.2908822509359634,tawa,-122.49030793253216,47.240324138072616
AB,AP21,208,0.5049810317483033,0.242557322485207,1.3202319194385106,oaca,-122.23759206133576,37.79586579832616
P-MKP3,JU21,50,0.5005706197220046,0.25040000000000007,1.3340448239060834,tawa,-122.4237000776792,47.2352303289375
DK,AP21,5,0.5004024235381879,0.31999999999999984,1.4705882352941173,oaca,-122.20900282254252,37.74296907041338
HT,JU21,100,0.494354023575946,0.23419999999999996,1.3058239749281797,oaca,-122.12520031814924,37.775504171738376
H18,AP21,63,0.48578863243950254,0.2519526329050139,1.3368137420006738,oaca,-122.12281431345347,37.7423411134739
H01-CCH1,JU21,11,0.47413931305783735,0.2975206611570247,1.4235294117647057,paca,-118.19473427204494,34.17062801301575
H01-WWD1,JU21,73,0.4633037958691183,0.20191405516982552,1.2529978838466964,paca,-118.2582246305454,34.21661561280118
H01-WWD1,AP21,132,0.4608749752527197,0.18457300275482103,1.2263513513513515,paca,-118.2582246305454,34.21661561280118
H01-BEA2,JA21,34,0.4283676329729558,0.21280276816609,1.2703296703296705,paca,-118.23860893352784,34.18840910560693
G-KP2,OC20,85,0.4210814304928828,0.21204152249134955,1.2691024064640788,tawa,-122.50799150845162,47.269061297727504
H01-CCH1,OC20,7,0.410116318288409,0.24489795918367352,1.3243243243243243,paca,-118.19473427204494,34.17062801301575
ED01,AP21,78,0.3829604307675954,0.22353714661406965,1.2878916172734969,lbca,-117.98770203485851,33.804787626724554
P-UWT,JA21,172,0.35027170564552534,0.14318550567874533,1.1671137762348116,tawa,-122.440170358001,47.2428796550409
ED05,AP21,71,0.3434313650861624,0.15790517754413813,1.1875147232037693,lbca,-117.92932622641054,33.807315562752066
G-VP,JA21,71,0.32771703048657014,0.1567149375123984,1.1858386262055989,tawa,-122.5200102255112,47.27992829292994
PWETZ02,JU21,67,0.30278949525252963,0.13989752728892846,1.1626521626521626,lbca,-117.77695209834594,33.788527901882254
CalT03,AP21,179,0.30111372602322006,0.16279142348865516,1.1944454799627213,lbca,-117.90364066179934,33.80272646064966
G-VP,AP21,268,0.2991691044826899,0.1331588327021609,1.153613877288789,tawa,-122.5200102255112,47.27992829292994
H18,JA21,49,0.2827388800668725,0.14993752603082044,1.1763841254287113,oaca,-122.12281431345347,37.7423411134739
IRC04,AP21,13,0.2711893730418441,0.14201183431952646,1.1655172413793102,lbca,-117.68302581073524,33.75233115011393
P-SCP2,AP21,147,0.26032809270760326,0.10449349807950381,1.1166864761511033,tawa,-122.3973902834904,47.22107090831066
H01-HNP1,OC20,78,0.20227300179743635,0.09730440499671267,1.1077931536780772,paca,-118.17428217013232,34.19328012284418
G-KP2,JA21,243,0.15809939481526683,0.05642771257768975,1.0598022147638961,tawa,-122.50799150845162,47.269061297727504
