Species,locationID,city,season,count,Site,utmEast,utmNorth,utmZone,long,lat
Domestic dog,2364,tawa,OC20,12,G-CLP3,537040.125,5232645.5,10,-122.51054008250263,47.24624781414887
Domestic dog,3378,oaca,JA21,2,GT,577615.25,4179526.25,10,-122.11884806430689,37.75976297425415
Domestic dog,3378,oaca,JU21,2,GT,577615.25,4179526.25,10,-122.11884806430689,37.75976297425415
Domestic dog,3378,oaca,OC21,9,GT,577615.25,4179526.25,10,-122.11884806430689,37.75976297425415
Domestic dog,3379,oaca,AP21,2,HT,577039.375,4181267.5,10,-122.12520031814923,37.775504171738376
Domestic dog,3380,oaca,AP21,8,MT,575692,4183114.25,10,-122.1403056978608,37.7922600644958
Domestic dog,3380,oaca,JA21,42,MT,575692,4183114.25,10,-122.1403056978608,37.7922600644958
Domestic dog,3380,oaca,OC20,24,MT,575692,4183114.25,10,-122.1403056978608,37.7922600644958
Domestic dog,3380,oaca,OC21,65,MT,575692,4183114.25,10,-122.1403056978608,37.7922600644958
Domestic dog,3381,oaca,AP21,4,DK,569689.6875,4177592,10,-122.20900282254252,37.74296907041338
Domestic dog,3381,oaca,JU21,19,DK,569689.6875,4177592,10,-122.20900282254252,37.74296907041338
Domestic dog,3381,oaca,OC20,22,DK,569689.6875,4177592,10,-122.20900282254252,37.74296907041338
Domestic dog,3382,oaca,JA21,1,EN,569795.9375,4176208,10,-122.20792986879542,37.73048775392695
Domestic dog,3382,oaca,OC21,1,EN,569795.9375,4176208,10,-122.20792986879542,37.73048775392695
Domestic dog,3383,oaca,JA21,1,AB,567123,4183440,10,-122.23759206133575,37.79586579832616
Domestic dog,3387,oaca,AP21,6,CR,575257.1875,4178946.75,10,-122.14567601162237,37.75473747299067
Domestic dog,3387,oaca,JA21,1,CR,575257.1875,4178946.75,10,-122.14567601162237,37.75473747299067
Domestic dog,3387,oaca,JU21,3,CR,575257.1875,4178946.75,10,-122.14567601162237,37.75473747299067
Domestic dog,3387,oaca,OC20,5,CR,575257.1875,4178946.75,10,-122.14567601162237,37.75473747299067
Domestic dog,3388,oaca,AP21,18,KP,575871.8125,4179126,10,-122.13868074443944,37.75630213894664
Domestic dog,3388,oaca,JA21,5,KP,575871.8125,4179126,10,-122.13868074443944,37.75630213894664
Domestic dog,3388,oaca,JU21,1,KP,575871.8125,4179126,10,-122.13868074443944,37.75630213894664
Domestic dog,3388,oaca,OC21,4,KP,575871.8125,4179126,10,-122.13868074443944,37.75630213894664
Domestic dog,3464,tawa,AP21,15,P-MKP3,543620.8125,5231466,10,-122.42370007767919,47.2352303289375
Domestic dog,3464,tawa,JA21,72,P-MKP3,543620.8125,5231466,10,-122.42370007767919,47.2352303289375
Domestic dog,3464,tawa,JU21,43,P-MKP3,543620.8125,5231466,10,-122.42370007767919,47.2352303289375
Domestic dog,3464,tawa,OC20,87,P-MKP3,543620.8125,5231466,10,-122.42370007767919,47.2352303289375
Domestic dog,3467,tawa,AP21,1,P-UWT,542368.0625,5232307,10,-122.440170358001,47.2428796550409
Domestic dog,3467,tawa,JU21,3,P-UWT,542368.0625,5232307,10,-122.440170358001,47.2428796550409
Domestic dog,3471,tawa,AP21,6,G-IP,540642.0625,5231492.5,10,-122.46304982780435,47.235659943921206
Domestic dog,3471,tawa,JA21,6,G-IP,540642.0625,5231492.5,10,-122.46304982780435,47.235659943921206
Domestic dog,3471,tawa,OC20,2,G-IP,540642.0625,5231492.5,10,-122.46304982780435,47.235659943921206
Domestic dog,3472,tawa,AP21,25,G-SERA,538535.9375,5227825.5,10,-122.49118989961514,47.20279106036013
Domestic dog,3472,tawa,JA21,8,G-SERA,538535.9375,5227825.5,10,-122.49118989961514,47.20279106036013
Domestic dog,3472,tawa,JU21,26,G-SERA,538535.9375,5227825.5,10,-122.49118989961514,47.20279106036013
